timestamp,s_no,report_week,hospital_code,hospital_type,federal_entity,administrative_entity,power_outage_equipment_failure_specify,power_generator_available,power_outage_mortatility,power_outage_deaths_count,power_outage,power_outage_avg_failures_per_day,power_outage_days_count,power_outage_avg_duration,power_outage_equipment_failure,mortality_hospital_failure_cardiovascular_count,mortality_hospital_failure_cardiovascular_cause,mortality_hospital_failure_trauma_count,mortality_hospital_failure_trauma_cause,rrt_avail_high_flow_catheters,rrt_avail_blood_tests_hiv_hvb_hvc_vdr,rrt_avail_immediate_access_urea_reduction_bun,operability_icu,operability_icu_p,operability_er,operability_sx,operability_lab,operability_uls,operability_ct_mri,operability_xr,er_avail_adrenalin,er_avail_atropine,er_avail_dopamine,er_avail_cephalosporins_betalactams,er_avail_aminoglycosides_quinolone,er_avail_vancomycin_clindamycin,er_avail_lidocaine,er_avail_minor_opioids,er_avail_major_opioids,er_avail_iv_fluids,er_avail_diazepam_dph,er_avail_heparin,er_avail_steroids,er_avail_insulin,er_avail_asthma,er_avail_blood_pressure,er_avail_defibrillator,er_avail_ott_intubation,er_avail_catheter,er_avail_oxygen_suction,sx_avail_minor_opioids,sx_avail_major_opioids,sx_avail_anesthetic_gases,sx_avail_anesthetics_iv,sx_avail_relaxants,sx_avail_ott_intubation,sx_avail_patient_lingerie_kit,sx_avail_disposables_mask_gloves_gown,sx_avail_oxygen_suction,rrt_avail,rrt_operability,rrt_avg_daily_patients,rrt_peritoneal_count,rrt_num_hemodialysis,rrt_num_hemodialysis_acute,rrt_num_hemodialysis_chronic,rrt_num_hemodialysis_equipments,rrt_num_hemodialysis_equipments_operability,rrt_hemodialysis_avail_filter,rrt_hemodialysis_avail_lines,rrt_hemodialysis_avail_kit_hemodialysis,rrt_hemodialysis_avail_iron,rrt_hemodialysis_avail_b_complex,rrt_hemodialysis_avail_calcium,rrt_hemodialysis_avail_zemblar,rrt_reverse_osmosis_unit_operability,rrt_staff_nephrology,rrt_staff_md,rrt_staff_resident,rrt_staff_nurse,rrt_staff_nurse_nephrologist,arch_beds_count,op_beds_count,op_beds_er_count,nutr_avail,nutr_operability,nutr_num,nutr_daily_freq_meal,nutr_quality,nutr_freq_milk_formulas,pneumonia_antibiotic_therapy_latency,mi_thrombolytic_treatment_latency,er_staff_residents_and_rural_day_on_call,er_staff_specialist_day_on_call,er_staff_mic_day_on_call,er_staff_nurse_day_on_call,er_staff_non_professional_nurse_day_on_call,er_staff_residents_and_rural_night_on_call,er_staff_specialist_night_on_call,er_staff_mic_night_on_call,op_pavilions_count,er_staff_nurse_night_on_call,er_staff_non_professional_nurse_night_on_call,wash_failure_icu,wash_failure_er,wash_failure_sx
2019-05-31,224,22 2019,DCA001,type III,Dtto Capital,MPPS,,Works between 3 and 5 days,No,0.0,No,0,Within 3 days,1899-12-30T00: 00: 00.000Z,Do not,3.0,"Equipment, medicines, structural Rest (water, O2, suction)",4.0,"Equipment, medicines, structural Rest (water, O2, suction)",,,,Less than 3 days,Less than 3 days,Days 3 to 5,Days 3 to 5,nonoperating,Days 3 to 5,nonoperating,nonoperating,There were no,There were no,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,There were no,There were no,There were no,Days 3 to 5,There were no,There were no,Days 3 to 5,Days 3 to 5,There were no,There were no,Days 3 to 5,Every day,Every day,There were no,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Do not,,,,,,,,,,,,,,,,,,,,,,15,6,18,SÃ,SÃ,Days 3 to 5,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,,1899-12-30T10: 00: 00.000Z,1899-12-30T02: 00: 00.000Z,4,5,0,7,10,4,4,0,3,2,0,"3 to 5 days, no alternative support","3 to 5 days, no alternative support","3 to 5 days, no alternative support"
2019-06-01,524,22 2019,DCA005,type IV,Dtto Capital,IVSS,,It works every day,No,0.0,No,0,Within 3 days,1899-12-30T00: 00: 00.000Z,Do not,,,,,,,,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,Every day,Every day,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,There were no,Has never been,Has never been,Has never been,Every day,Every day,Every day,Every day,Days 3 to 5,Days 3 to 5,Every day,Every day,Days 3 to 5,Every day,Days 3 to 5,Days 3 to 5,Every day,SÃ,SÃ,10.0,1.0,,,,,,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,Every day,Every day,Every day,Every day,Every day,265,240,30,SÃ,SÃ,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",No recommendations from the specialist remain as to the menu served,There has never been-dairy formulas,1899-12-30T00: 30: 00.000Z,1899-12-30T01: 00: 00.000Z,16,6,0,20,0,16,4,0,3,12,2,"3 to 5 days, with alternate support","3 to 5 days, with alternate support","3 to 5 days, with alternate support"
2019-06-03,560,22 2019,GUA000,type IV,Guarico,MPPS,None,It works every day,Yes,0.0,Yes,1,Days 3 to 5,1899-12-30T00: 30: 00.000Z,Do not,0.0,,0.0,,,,,Does not exist,Does not exist,Does not exist,Does not exist,Does not exist,Days 3 to 5,nonoperating,Does not exist,Every day,Every day,Every day,Between 1 and 2 days,There were no,There were no,Every day,Every day,There were no,There were no,Every day,Every day,Between 1 and 2 days,Every day,Every day,Between 1 and 2 days,Every day,Every day,Between 1 and 2 days,Every day,Every day,There were no,Every day,Days 3 to 5,Every day,Every day,Every day,Every day,Every day,SÃ,SÃ,6.0,1.0,5.0,0.0,6.0,6.0,3.0,Days 3 to 5,Every day,Every day,There were no,There were no,There were no,There were no,Every day,Every day,Every day,Every day,Has never been,Every day,160,180,20,SÃ,SÃ,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-30T00: 30: 00.000Z,1899-12-30T00: 30: 00.000Z,22,12,1,12,0,12,6,1,4,5,0,There was water every day,There was water every day,There was water every day
2019-06-03,442,22 2019,ARA002,type IV,Aragua,"MPPS, Gob. State, Corposalud aragua",Infusion pump ,Works between 3 and 5 days,Yes,,Yes,1,Within 3 days,1899-12-30T04: 00: 00.000Z,SÃ,10.0,"Equipment, drugs, human resources, structural Rest (water, O2, suction)",15.0,"Equipment, drugs, human resources, electric light © ctrica",,,,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,nonoperating,nonoperating,nonoperating,nonoperating,Days 3 to 5,There were no,Between 1 and 2 days,There were no,There were no,There were no,Between 1 and 2 days,There were no,There were no,Between 1 and 2 days,There were no,Between 1 and 2 days,There were no,There were no,There were no,There were no,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,Every day,There were no,There were no,There were no,There were no,There were no,Days 3 to 5,Between 1 and 2 days,Between 1 and 2 days,Every day,SÃ,SÃ,60.0,5.0,55.0,20.0,35.0,8.0,4.0,Days 3 to 5,Between 1 and 2 days,Days 3 to 5,There were no,There were no,There were no,There were no,Days 3 to 5,Every day,There were no,Every day,Every day,There were no,500,300,50,SÃ,SÃ,Days 3 to 5,"3 meals to the day (breakfast, lunch and dinner) is served",No recommendations from the specialist remain as to the menu served,Was-dairy formulas 3 to 5 days,1900-01-02T00: 00: 00.000Z,1899-12-31T00: 00: 00.000Z,15,4,2,20,5,10,2,3,2,10,0,"3 to 5 days, with alternate support","3 to 5 days, with alternate support","3 to 5 days, with alternate support"
2019-06-03,995,22 2019,POR000,type III,Portuguesa,MPPS,,It works every day,Yes,,Yes,1,Every day,1899-12-30T00: 05: 00.000Z,Do not,1.0,Medicines,,,,,,Days 3 to 5,Has never been,Days 3 to 5,Days 3 to 5,nonoperating,Days 3 to 5,Has never been,nonoperating,Every day,Every day,Every day,There were no,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,Days 3 to 5,Every day,Every day,Between 1 and 2 days,Between 1 and 2 days,Days 3 to 5,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,SÃ,SÃ,6.0,0.0,6.0,1.0,5.0,6.0,3.0,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Between 1 and 2 days,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,Days 3 to 5,Days 3 to 5,There were no,300,240,45,SÃ,SÃ,Days 3 to 5,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,Was-dairy formulas 3 to 5 days,1899-12-30T04: 30: 00.000Z,1899-12-30T01: 00: 00.000Z,1,1,4,2,2,1,1,4,33,2,2,"3 to 5 days, no alternative support","3 to 5 days, no alternative support","3 to 5 days, no alternative support"
2019-06-03,748,22 2019,VAR000,type III,Vargas,IVSS,0,It works every day,Yes,0.0,Yes,1,Days 3 to 5,1899-12-30T04: 00: 00.000Z,Do not,0.0,,0.0,,,,,nonoperating,Has never been,Does not exist,Does not exist,nonoperating,nonoperating,Has never been,Does not exist,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,SÃ,SÃ,24.0,0.0,0.0,0.0,24.0,24.0,20.0,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Has never been,Has never been,Every day,Every day,180,120,14,SÃ,SÃ,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",recommendations of the specialist remain as to the menu served,There was every day-dairy formulas,1899-12-30T00: 20: 00.000Z,1899-12-30T00: 20: 00.000Z,4,2,1,12,0,4,2,1,2,4,0,"3 to 5 days, with alternate support","3 to 5 days, with alternate support","3 to 5 days, with alternate support"
2019-06-03,906,22 2019,FAL000,type IV,Falcon,Gob. State,,It works every day,Yes,,Yes,1,Within 3 days,1899-12-30T04: 00: 00.000Z,Do not,0.0,,6.0,Contamination ,,,,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,nonoperating,nonoperating,nonoperating,nonoperating,Every day,Every day,Every day,There were no,Every day,Every day,Every day,Every day,Every day,There were no,There were no,Every day,There were no,Days 3 to 5,There were no,There were no,Every day,Every day,There were no,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,SÃ,SÃ,41.0,4.0,25.0,5.0,6.0,5.0,5.0,Every day,Every day,Every day,Every day,Every day,Every day,Every day,any public day,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,Days 3 to 5,300,211,30,SÃ,SÃ,Every day,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-30T01: 54: 00.000Z,1899-12-30T02: 13: 00.000Z,21,6,0,19,6,14,3,0,1,11,7,"3 to 5 days, with alternate support","3 to 5 days, with alternate support","3 to 5 days, with alternate support"
2019-06-04,596,22 2019,MIR000,type IV,Miranda,IVSS,,It works every day,No,,No,0,Within 3 days,1899-12-30T00: 00: 00.000Z,Do not,0.0,,0.0,,,,,Does not exist,Does not exist,Does not exist,Does not exist,nonoperating,Less than 3 days,nonoperating,nonoperating,Every day,Every day,Every day,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,Every day,Between 1 and 2 days,Every day,Between 1 and 2 days,There were no,Between 1 and 2 days,There were no,There were no,There were no,Every day,Every day,Every day,Every day,Every day,Between 1 and 2 days,Every day,Every day,Every day,Every day,Between 1 and 2 days,Between 1 and 2 days,Every day,SÃ,SÃ,8.0,8.0,0.0,2.0,6.0,4.0,1.0,Days 3 to 5,Days 3 to 5,Every day,Every day,Every day,Every day,Days 3 to 5,Days 3 to 5,Every day,Every day,Every day,Every day,Between 1 and 2 days,600,510,50,SÃ,SÃ,Days 3 to 5,"3 meals to the day (breakfast, lunch and dinner) is served",No recommendations from the specialist remain as to the menu served,There was every day-dairy formulas,1899-12-30T02: 00: 00.000Z,1899-12-30T01: 00: 00.000Z,30,10,0,7,9,30,8,0,4,5,7,"3 to 5 days, no alternative support","3 to 5 days, no alternative support","3 to 5 days, no alternative support"
2019-06-04,601,22 2019,NES000,type III,Nueva Esparta,IVSS,0,It works every day,Yes,0.0,Yes,2,Days 3 to 5,1899-12-30T02: 00: 00.000Z,Do not,11.0,"Equipment, medicines, Human Resources",13.0,"Equipment, medicines, Human Resources",,,,Less than 3 days,Does not exist,Does not exist,Does not exist,nonoperating,nonoperating,nonoperating,nonoperating,Every day,Every day,Days 3 to 5,There were no,There were no,There were no,There were no,There were no,Between 1 and 2 days,There were no,Every day,There were no,There were no,There were no,There were no,There were no,Every day,Every day,Every day,Every day,There were no,Between 1 and 2 days,Every day,Every day,Days 3 to 5,Every day,There were no,There were no,Every day,SÃ,SÃ,29.0,0.0,29.0,9.0,20.0,15.0,10.0,Days 3 to 5,Days 3 to 5,Every day,There were no,There were no,There were no,There were no,Days 3 to 5,Every day,There were no,Every day,Every day,There were no,420,300,42,SÃ,SÃ,Every day,"3 meals to the day (breakfast, lunch and dinner) is served",No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-31T00: 00: 00.000Z,1899-12-31T16: 00: 00.000Z,12,15,0,12,6,6,12,0,6,6,2,There was water every day,There was water every day,There was water every day
2019-06-04,820,22 2019,BAR000,type IV,Barinas,"MPPS, Military Health, Govt. State, Barrio Adentro",0,It works every day,Yes,0.0,Yes,1,Days 3 to 5,1899-12-30T04: 00: 00.000Z,Do not,2.0,Medicines,0.0,,,,,Does not exist,Does not exist,Does not exist,Does not exist,nonoperating,Less than 3 days,nonoperating,nonoperating,There were no,Between 1 and 2 days,There were no,There were no,Between 1 and 2 days,Between 1 and 2 days,There were no,There were no,There were no,Between 1 and 2 days,There were no,There were no,There were no,There were no,Between 1 and 2 days,There were no,Days 3 to 5,Days 3 to 5,Days 3 to 5,Every day,There were no,There were no,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Between 1 and 2 days,Days 3 to 5,SÃ,SÃ,48.0,0.0,48.0,5.0,43.0,16.0,15.0,Days 3 to 5,Days 3 to 5,Days 3 to 5,There were no,There were no,There were no,Between 1 and 2 days,Days 3 to 5,Days 3 to 5,Every day,Days 3 to 5,Every day,Days 3 to 5,220,168,42,SÃ,SÃ,Days 3 to 5,"3 meals to the day (breakfast, lunch and dinner) is served",recommendations of the specialist remain as to the menu served,There was less than 3-dairy formulas days,1899-12-30T05: 00: 00.000Z,1899-12-30T05: 00: 00.000Z,3,1,2,1,2,3,2,2,2,2,1,"<3 days, no alternative support (tanks)","<3 days, no alternative support (tanks)","<3 days, no alternative support (tanks)"
