s_no,timestamp,report_week,hospital_code,hospital_type,federal_entity,administrative_entity,power_outage_equipment_failure_specify,power_generator_available,power_outage_mortatility,power_outage_deaths_count,power_outage,power_outage_avg_failures_per_day,power_outage_days_count,power_outage_avg_duration,power_outage_equipment_failure,mortality_hospital_failure_cardiovascular_count,mortality_hospital_failure_cardiovascular_cause,mortality_hospital_failure_trauma_count,mortality_hospital_failure_trauma_cause,strike_medical_staff_affected,strike_nurses_affected,strike_other_staff_affected,strike_patients_affected,strike_other_affected,staff_violence_affected_reasons,epidemiological_emergency_suspected_diseases,rrt_avail_high_flow_catheters,rrt_avail_blood_tests_hiv_hvb_hvc_vdr,rrt_avail_immediate_access_urea_reduction_bun,nCoV_face_mask_avail,nCoV_respiratory_isolation_protocol_avail,nCoV_isolation_area_avail,operability_icu,operability_icu_p,operability_er,operability_sx,operability_lab,operability_uls,operability_ct_mri,operability_xr,er_avail_adrenalin,er_avail_atropine,er_avail_dopamine,er_avail_cephalosporins_betalactams,er_avail_aminoglycosides_quinolone,er_avail_vancomycin_clindamycin,er_avail_lidocaine,er_avail_minor_opioids,er_avail_major_opioids,er_avail_iv_fluids,er_avail_diazepam_dph,er_avail_heparin,er_avail_steroids,er_avail_insulin,er_avail_asthma,er_avail_blood_pressure,er_avail_defibrillator,er_avail_ott_intubation,er_avail_catheter,er_avail_oxygen_suction,sx_avail_minor_opioids,sx_avail_major_opioids,sx_avail_anesthetic_gases,sx_avail_anesthetics_iv,sx_avail_relaxants,sx_avail_ott_intubation,sx_avail_patient_lingerie_kit,sx_avail_disposables_mask_gloves_gown,sx_avail_oxygen_suction,rrt_avail,rrt_operability,rrt_date_stopped_operability,rrt_reason_stopped_operability,rrt_avg_daily_patients,rrt_peritoneal_count,rrt_peritoneal_reason_not_performed,rrt_num_hemodialysis,rrt_num_hemodialysis_acute,rrt_num_hemodialysis_chronic,rrt_num_hemodialysis_equipments,rrt_num_hemodialysis_equipments_operability,rrt_hemodialysis_avail_filter,rrt_hemodialysis_avail_lines,rrt_hemodialysis_avail_kit_hemodialysis,rrt_hemodialysis_avail_iron,rrt_hemodialysis_avail_b_complex,rrt_hemodialysis_avail_calcium,rrt_hemodialysis_avail_zemblar,rrt_reverse_osmosis_unit_operability,rrt_staff_nephrology,rrt_staff_md,rrt_staff_resident,rrt_staff_nurse,rrt_staff_nurse_nephrologist,arch_beds_count,op_beds_count,op_beds_er_count,nutr_avail,nutr_operability,nutr_date_stopped_operability,nutr_reason_stopped_operability,nutr_num,nutr_daily_freq_meal,nutr_quality,nutr_freq_milk_formulas,pneumonia_antibiotic_therapy_latency,mi_thrombolytic_treatment_latency,er_staff_residents_and_rural_day_on_call,er_staff_specialist_day_on_call,er_staff_mic_day_on_call,er_staff_nurse_day_on_call,er_staff_non_professional_nurse_day_on_call,er_staff_residents_and_rural_night_on_call,er_staff_specialist_night_on_call,er_staff_mic_night_on_call,op_pavilions_count,er_staff_nurse_night_on_call,er_staff_non_professional_nurse_night_on_call,wash_failure_icu,wash_failure_er,wash_failure_sx
1,2020-01-13T19: 11: 32.788Z,51 of 2019,AMA000,type II,Amazon,MPPS,,It works less than 3 days,Do not,NA,Yes,2,Days 3 to 5,1899-12-31T08: 00: 00.000Z,Do not,0,,2,"Equipment, drugs, human resources, structural Rest (water, O2, suction)",,,,,,Violence against hospital staff by relatives,,,,,,,,Every day,Has never been,Every day,Every day,nonoperating,nonoperating,Has never been,nonoperating,There were no,There were no,There were no,Between 1 and 2 days,There were no,There were no,Every day,There were no,There were no,There were no,There were no,Days 3 to 5,There were no,There were no,There were no,There were no,There were no,There were no,There were no,Days 3 to 5,There were no,There were no,Every day,Every day,Every day,Every day,Days 3 to 5,Between 1 and 2 days,Every day,S√,Do not,Over 1 year ± or,"Lack of surgical equipment, lack of input methods © physicians, lack of nefrol√≥gico equipment (dialysis machines), lack of professionals (nephrologist, surgeon, etc.)",NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,170,58,32,S√,S√,,,any public day,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,There was less than 3-dairy formulas days,1899-12-30T09: 00: 00.000Z,1899-12-30T04: 00: 00.000Z,1,2,2,2,1,1,1,2,1,2,0,There was no water any public day,There was no water any public day,There was no water any public day
2,2019-06-14T21: 14: 15.397Z,22 2019,AMA000,type II,Amazon,MPPS,,It works less than 3 days,Do not,NA,Yes,1,Days 3 to 5,1899-12-30T05: 00: 00.000Z,Do not,1,"Equipment, medicines, Human Resources",0,,,,,,,"Theft, robbery or shooting inside the hospital.",,,,,,,,Every day,Has never been,Every day,Every day,Less than 3 days,nonoperating,Has never been,nonoperating,There were no,There were no,There were no,Days 3 to 5,There were no,There were no,Every day,Between 1 and 2 days,There were no,Days 3 to 5,There were no,There were no,There were no,There were no,Days 3 to 5,Between 1 and 2 days,Every day,Every day,There were no,Days 3 to 5,Days 3 to 5,There were no,Every day,Every day,Every day,Every day,Every day,Every day,Every day,S√,Do not,Over 1 year ± or,"Lack of surgical equipment, lack of input methods © physicians, lack of nefrol√≥gico equipment (dialysis machines), lack of professionals (nephrologist, surgeon, etc.)",NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,170,83,35,S√,S√,,,Every day,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-30T18: 00: 00.000Z,1900-01-02T00: 00: 00.000Z,1,2,2,2,1,0,1,3,1,2,0,There was no water any public day,There was no water any public day,There was no water any public day
3,2019-08-25T02: 13: 40.031Z,33 of 2019,AMA000,type II,Amazon,MPPS,,It works less than 3 days,Do not,0,Yes,2,Days 3 to 5,1899-12-30T03: 00: 00.000Z,Do not,0,,0,,,,,,,,,,,,,,,Every day,Has never been,Every day,Every day,Less than 3 days,nonoperating,Has never been,nonoperating,There were no,There were no,There were no,There were no,There were no,There were no,Every day,There were no,There were no,There were no,There were no,Days 3 to 5,There were no,Between 1 and 2 days,There were no,There were no,There were no,There were no,There were no,Days 3 to 5,There were no,There were no,Every day,Every day,Every day,Every day,Every day,There were no,Every day,S√,Do not,Over 1 year ± or,"Lack of surgical equipment, lack of input methods © physicians, lack of nefrol√≥gico equipment (dialysis machines), lack of professionals (nephrologist, surgeon, etc.)",NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,170,84,37,S√,S√,,,Every day,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-30T00: 00: 00.000Z,1899-12-30T00: 00: 00.000Z,1,5,2,3,2,1,2,2,1,3,0,There was no water any public day,There was no water any public day,There was no water any public day
4,2019-08-20T22: 01: 04.247Z,29 2019,AMA000,type II,Amazon,MPPS,,Works between 3 and 5 days,Do not,NA,Yes,1,Within 3 days,1899-12-30T03: 00: 00.000Z,Do not,0,,1,"Equipment, drugs, human resources, structural Rest (water, O2, suction)",,,,,,,,,,,,,,Every day,Has never been,Every day,Every day,Less than 3 days,nonoperating,Has never been,nonoperating,There were no,There were no,There were no,There were no,There were no,There were no,There were no,Between 1 and 2 days,There were no,There were no,There were no,Between 1 and 2 days,There were no,There were no,There were no,There were no,There were no,There were no,There were no,Days 3 to 5,Between 1 and 2 days,There were no,Every day,Every day,Every day,Every day,There were no,Between 1 and 2 days,Every day,S√,Do not,Over 1 year ± or,"Lack of surgical equipment, lack of input methods © physicians, lack of nefrol√≥gico equipment (dialysis machines), lack of professionals (nephrologist, surgeon, etc.)",NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,170,72,38,S√,S√,,,Every day,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1900-01-02T00: 00: 00.000Z,1899-12-30T18: 00: 00.000Z,1,2,2,3,2,1,2,2,1,2,1,"3 to 5 days, no alternative support","3 to 5 days, no alternative support","3 to 5 days, no alternative support"
5,2020-01-27T21: 20: 36.881Z,3 2020,AMA000,type II,Amazon,MPPS,,It works less than 3 days,Do not,NA,Yes,2,Days 3 to 5,1899-12-30T09: 00: 00.000Z,Do not,2,"Equipment, drugs, human resources, structural Rest (water, O2, suction)",0,,,,,,,"Violence against hospital staff by relatives, theft, robbery or shooting inside the hospital.",TBC health personnel,,,,Option 1,Do not,Do not,Every day,Has never been,Every day,Every day,nonoperating,nonoperating,Has never been,nonoperating,There were no,There were no,There were no,Between 1 and 2 days,There were no,There were no,Every day,There were no,There were no,Between 1 and 2 days,There were no,Days 3 to 5,There were no,Between 1 and 2 days,Between 1 and 2 days,Days 3 to 5,There were no,There were no,There were no,Between 1 and 2 days,There were no,There were no,Every day,Every day,Every day,Every day,Between 1 and 2 days,There were no,Days 3 to 5,S√,Do not,Over 1 year ± or,"Lack of surgical equipment, lack of input methods © physicians, lack of nefrol√≥gico equipment (dialysis machines), lack of professionals (nephrologist, surgeon, etc.)",NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,170,56,26,S√,S√,,,Between 1 and 2 days,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,There was less than 3-dairy formulas days,1899-12-30T07: 00: 00.000Z,1899-12-30T04: 00: 00.000Z,1,3,3,3,1,2,2,2,1,3,0,There was no water any public day,There was no water any public day,There was no water any public day
6,2019-08-25T02: 24: 44.452Z,34 2019,AMA000,type II,Amazon,MPPS,,There does not work,Do not,0,Yes,1,Within 3 days,1899-12-30T06: 45: 00.000Z,Do not,2,"Equipment, drugs, human resources, structural Rest (water, O2, suction)",0,,,,,,,,,,,,,,,Every day,Has never been,Every day,Every day,Less than 3 days,nonoperating,Has never been,nonoperating,There were no,There were no,There were no,There were no,There were no,There were no,Days 3 to 5,There were no,There were no,There were no,There were no,There were no,There were no,There were no,There were no,There were no,There were no,There were no,There were no,Days 3 to 5,There were no,There were no,Every day,Every day,Every day,Every day,Every day,There were no,Every day,S√,Do not,Over 1 year ± or,"Lack of surgical equipment, lack of input methods © physicians, lack of nefrol√≥gico equipment (dialysis machines), lack of professionals (nephrologist, surgeon, etc.)",NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,170,69,36,S√,S√,,,Days 3 to 5,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-30T00: 00: 00.000Z,1899-12-30T00: 00: 00.000Z,1,4,2,3,2,1,2,2,1,2,1,"3 to 5 days, no alternative support","3 to 5 days, no alternative support","3 to 5 days, no alternative support"
7,2019-10-22T18: 03: 12.451Z,40 of 2019,AMA000,type II,Amazon,MPPS,,Works between 3 and 5 days,Do not,NA,Yes,4,Days 3 to 5,1899-12-30T00: 10: 00.000Z,Do not,0,,0,,,,,,,,TBC health personnel,,,,,,,Every day,Has never been,Every day,Every day,nonoperating,nonoperating,Has never been,nonoperating,There were no,There were no,There were no,There were no,There were no,There were no,Every day,There were no,There were no,Between 1 and 2 days,There were no,Days 3 to 5,There were no,There were no,There were no,Between 1 and 2 days,There were no,There were no,There were no,Days 3 to 5,There were no,There were no,Every day,Every day,Every day,Every day,Between 1 and 2 days,There were no,Every day,S√,Do not,Over 1 year ± or,"Lack of surgical equipment, lack of input methods © physicians, lack of nefrol√≥gico equipment (dialysis machines), lack of professionals (nephrologist, surgeon, etc.)",NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,170,52,21,S√,S√,,,Days 3 to 5,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,There was less than 3-dairy formulas days,1900-01-02T00: 00: 00.000Z,1899-12-30T06: 00: 00.000Z,1,4,3,2,1,1,3,2,1,3,0,"3 to 5 days, no alternative support","3 to 5 days, no alternative support","3 to 5 days, no alternative support"
8,2019-07-16T18: 06: 19.251Z,27 2019,AMA000,type II,Amazon,MPPS,,There does not work,Do not,0,Yes,1,Within 3 days,1899-12-30T07: 00: 00.000Z,Do not,0,,0,,,,,,,"Theft, robbery or shooting inside the hospital.",,,,,,,,Every day,Has never been,Every day,Every day,Days 3 to 5,nonoperating,Has never been,nonoperating,There were no,There were no,There were no,There were no,There were no,There were no,Between 1 and 2 days,There were no,There were no,There were no,There were no,There were no,There were no,There were no,There were no,There were no,There were no,There were no,There were no,Between 1 and 2 days,There were no,There were no,Every day,Every day,Every day,Every day,There were no,There were no,Every day,S√,Do not,Over 1 year ± or,"Lack of surgical equipment, lack of input methods © physicians, lack of nefrol√≥gico equipment (dialysis machines), lack of professionals (nephrologist, surgeon, etc.)",NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,170,75,36,S√,S√,,,Every day,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1899-12-30T00: 00: 00.000Z,1899-12-30T00: 00: 00.000Z,0,2,2,2,1,1,2,2,1,3,0,There was no water any public day,There was no water any public day,There was no water any public day
9,2019-11-29T19: 16: 53.296Z,46 of 2019,AMA000,type II,Amazon,MPPS,,There does not work,Do not,NA,Yes,3,Days 3 to 5,1899-12-30T06: 00: 00.000Z,Do not,2,"Equipment, drugs, human resources, structural Rest (water, O2, suction)",1,"Equipment, drugs, human resources, structural Rest (water, O2, suction)",,,,,,"Theft, robbery or shooting inside the hospital.",TBC health personnel,,,,,,,Every day,Has never been,Every day,Every day,nonoperating,nonoperating,Has never been,nonoperating,There were no,There were no,There were no,There were no,There were no,There were no,Days 3 to 5,There were no,There were no,There were no,There were no,Between 1 and 2 days,There were no,Days 3 to 5,There were no,There were no,There were no,There were no,There were no,Between 1 and 2 days,There were no,There were no,Every day,Every day,Every day,Every day,Between 1 and 2 days,There were no,Every day,S√,Do not,Over 1 year ± or,"Lack of surgical equipment, lack of input methods © physicians, lack of nefrol√≥gico equipment (dialysis machines), lack of professionals (nephrologist, surgeon, etc.)",NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,170,47,25,S√,S√,,,Every day,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1900-01-02T00: 00: 00.000Z,1899-12-30T13: 00: 00.000Z,1,5,2,3,2,1,2,2,1,3,1,"<3 days, no alternative support (tanks)","<3 days, no alternative support (tanks)","<3 days, no alternative support (tanks)"
10,2020-01-13T19: 25: 12.504Z,1 2020,AMA000,type II,Amazon,MPPS,,It works less than 3 days,Do not,NA,Yes,1,Within 3 days,1899-12-30T08: 00: 00.000Z,Do not,0,,0,,,,,,,,,,,,,,,Every day,Has never been,Every day,Every day,nonoperating,nonoperating,Has never been,nonoperating,There were no,There were no,There were no,There were no,There were no,There were no,Days 3 to 5,There were no,There were no,There were no,There were no,Between 1 and 2 days,There were no,There were no,There were no,There were no,There were no,Every day,There were no,There were no,There were no,There were no,Every day,Every day,Every day,Every day,Between 1 and 2 days,There were no,Every day,S√,Do not,Over 1 year ± or,"Lack of surgical equipment, lack of input methods © physicians, lack of nefrol√≥gico equipment (dialysis machines), lack of professionals (nephrologist, surgeon, etc.)",NA,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,170,43,19,S√,S√,,,Between 1 and 2 days,They served less than 3 meals to the day,No recommendations from the specialist remain as to the menu served,There was not any public day-dairy formulas,1900-01-02T00: 00: 00.000Z,1899-12-30T16: 00: 00.000Z,1,2,2,2,1,1,2,2,1,3,0,There was no water any public day,There was no water any public day,There was no water any public day
